ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,auth_success,auth_attempts,event_type,username,last_updated_timestamp
2025-04-24T10:20:09.513103Z,SH1902660,135.55.210.223,54889,84.85.166.230,22,tcp,SF,0,ShADadfF,16,1232,30,1290,0.0,5,Multiple Failed Authentication Attempts,support,2026-08-05 08:55:15
2025-04-24T10:20:09.514037Z,SH1789638,87.143.23.119,59399,123.158.160.191,22,tcp,SF,0,ShADadfF,41,2214,15,1125,0.0,1,Failed SSH Login,alice,2026-08-05 08:55:15
2025-04-24T10:20:09.509804Z,SH9778300,135.55.210.223,59885,164.254.24.82,22,tcp,SF,0,ShADadfF,20,1360,45,3600,1.0,2,Successful SSH Login,support,2026-08-05 08:55:15
2025-04-24T10:20:09.519436Z,SH6977063,105.236.211.106,3363,200.6.78.129,22,tcp,SF,0,ShADadfF,20,960,45,3015,1.0,1,Successful SSH Login,john.doe,2026-08-05 08:55:15
2025-04-24T10:20:09.510660Z,SH2801663,191.33.181.155,14810,133.183.125.94,22,tcp,SF,0,ShADadfF,40,2120,33,1683,,0,Connection Without Authentication,dbadmin,2026-08-05 08:55:15
2025-04-24T10:20:09.515652Z,SH5074643,78.164.1.207,63638,200.6.78.129,22,tcp,SF,0,ShADadfF,42,3360,36,1476,0.0,5,Multiple Failed Authentication Attempts,oracle,2026-08-05 08:55:15
2025-04-24T10:20:09.517953Z,SH2018975,181.91.226.98,59818,91.14.145.242,22,tcp,SF,0,ShADadfF,39,2028,15,600,0.0,1,Failed SSH Login,backup,2026-08-05 08:55:15
2025-04-24T10:20:09.519830Z,SH7122783,4.224.23.39,62649,204.226.108.67,22,tcp,SF,0,ShADadfF,19,893,24,1296,0.0,1,Failed SSH Login,alice,2026-08-05 08:55:15
2025-04-24T10:20:09.509571Z,SH9021155,147.83.99.54,1110,91.14.145.242,22,tcp,SF,0,ShADadfF,47,2961,34,1734,0.0,1,Failed SSH Login,sysadmin,2026-08-05 08:55:15
2025-04-24T10:20:09.510693Z,SH9623130,122.204.186.125,24723,187.104.79.154,22,tcp,SF,0,ShADadfF,17,1241,38,2812,,0,Connection Without Authentication,svc_user,2026-08-05 08:55:15
2025-04-24T10:20:09.518269Z,SH2397451,74.165.131.224,14942,204.226.108.67,22,tcp,SF,0,ShADadfF,39,2847,14,728,0.0,5,Multiple Failed Authentication Attempts,webmaster,2026-08-05 08:55:15
2025-04-24T10:20:09.513641Z,SH8758052,110.177.195.150,45473,200.6.78.129,22,tcp,SF,0,ShADadfF,43,2064,48,2112,0.0,1,Failed SSH Login,test,2026-08-05 08:55:15
2025-04-24T10:20:09.513477Z,SH1295061,114.56.126.152,58324,187.104.79.154,22,tcp,SF,0,ShADadfF,48,3552,22,1188,1.0,3,Successful SSH Login,root,2026-08-05 08:55:15
2025-04-24T10:20:09.510671Z,SH1631618,172.197.112.108,23605,187.104.79.154,22,tcp,SF,0,ShADadfF,41,2214,30,1860,0.0,8,Multiple Failed Authentication Attempts,support,2026-08-05 08:55:15
2025-04-24T10:20:09.519575Z,SH1604374,168.154.125.86,28118,133.183.125.94,22,tcp,SF,0,ShADadfF,38,2508,37,2738,0.0,6,Multiple Failed Authentication Attempts,sysadmin,2026-08-05 08:55:15
2025-04-24T10:20:09.520754Z,SH7860454,4.224.23.39,26639,173.96.169.78,22,tcp,SF,0,ShADadfF,32,1504,49,3332,0.0,1,Failed SSH Login,alice,2026-08-05 08:55:15
2025-04-24T10:20:09.511856Z,SH7323781,171.3.171.165,56568,133.183.125.94,22,tcp,SF,0,ShADadfF,17,833,24,1800,0.0,6,Multiple Failed Authentication Attempts,john.doe,2026-08-05 08:55:15
2025-04-24T10:20:09.515299Z,SH5651948,191.47.156.160,29778,200.6.78.129,22,tcp,SF,0,ShADadfF,42,2646,22,1738,,0,Connection Without Authentication,svc_ssh,2026-08-05 08:55:15
